,century,status,count
0,sec. I,complete,44
1,sec. I,incomplete,15
2,sec. I,missing,35
3,sec. I ,incomplete,1
4,sec. I a.C.,complete,31
5,sec. I a.C.,incomplete,14
6,sec. I a.C.,missing,26
7,"sec. I a.C.,sec. III",complete,1
8,"sec. I a.C.,sec. III",incomplete,1
9,"sec. I a.C.,sec. XIII",missing,2
10,"sec. I a.C.,sec. XIII,sec. XVI,sec. XVI/ XVII",complete,1
11,"sec. I a.C.,sec. XIII,sec. XVI,sec. XVI/ XVII",incomplete,1
12,"sec. I a.C.,sec. XV",incomplete,1
13,"sec. I a.C.,sec. XV",missing,3
14,sec. I a.C./ I,complete,16
15,sec. I a.C./ I,incomplete,2
16,sec. I a.C./ I,missing,17
17,sec. I a.C./ II,complete,2
18,"sec. I a.C./ V,sec. XV",missing,1
19,sec. I d.C.,missing,2
20,"sec. I,sec. XIX",incomplete,1
21,"sec. I,sec. XVIII",missing,1
22,sec. I-II,complete,2
23,sec. I/ II,complete,16
24,sec. I/ II,incomplete,8
25,sec. I/ II,missing,16
26,"sec. I/ II,sec. I a.C.",complete,1
27,sec. I/ III,complete,1
28,sec. I/ III,missing,3
29,sec. II,complete,65
30,sec. II,incomplete,15
31,sec. II,missing,42
32,sec. II a.C.,complete,17
33,sec. II a.C.,incomplete,9
34,sec. II a.C.,missing,7
35,"sec. II a.C.,sec. XVII",incomplete,1
36,sec. II a.C./ I,complete,2
37,sec. II a.C./ I,missing,1
38,sec. II a.C./ II,missing,1
39,"sec. II,sec. XI",missing,2
40,"sec. II,sec. XV",missing,1
41,sec. II/ I a.C.,complete,5
42,sec. II/ I a.C.,missing,3
43,"sec. II/ I a.C.,sec. IX",missing,1
44,"sec. II/ I a.C.,sec. XVIII",missing,1
45,sec. II/ III,complete,3
46,sec. II/ III,incomplete,1
47,sec. II/ III,missing,5
48,"sec. II/ III,sec. XIII",incomplete,1
49,sec. III,complete,25
50,sec. III,incomplete,10
51,sec. III,missing,23
52,sec. III a.C.,complete,14
53,sec. III a.C.,incomplete,4
54,sec. III a.C.,missing,12
55,"sec. III a.C.,sec. XVIII",complete,2
56,"sec. III,sec. XV",complete,1
57,sec. III/ I a.C.,complete,10
58,sec. III/ I a.C.,missing,2
59,sec. III/ II a.C.,complete,4
60,sec. III/ II a.C.,missing,4
61,sec. III/ IV,missing,4
62,"sec. III/IV,sec. XII,sec. XIX",missing,1
63,sec. IV,complete,29
64,sec. IV,incomplete,22
65,sec. IV,missing,8
66,sec. IV a.C.,complete,110
67,sec. IV a.C.,incomplete,18
68,sec. IV a.C.,missing,17
69,sec. IV a.C./ I,missing,1
70,"sec. IV,sec. VI,sec. XIII,sec. XIX",complete,1
71,"sec. IV,sec. XIV",complete,2
72,sec. IV/ I a.C.,missing,1
73,sec. IV/ III a.C.,complete,2
74,sec. IV/ III a.C.,incomplete,3
75,sec. IV/ III a.C.,missing,2
